ANBIMA - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais

Código;Nome;Repac./  Venc.;Índice/ Correção;Taxa de Compra;Taxa de Venda;Taxa Indicativa;Desvio Padrão;Intervalo Indicativo Minimo;Intervalo Indicativo Máximo;PU;% PU Par;Duration;% Reune;Referência NTN-B
AALM11;AURA ALMAS MINERACAO S.A. (*);13/07/2026;DI + 4,35%;2,785;2,4395;2,5908;0,1189;2,4719;2,7098;796,159787;102,6876;394,59;;
AEGP14;AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**);05/02/2025;DI + 1,8%;1,9945;1,5727;1,7583;0,0407;1,7176;1,799;1019,011087;100,0336;206,54;;
AEGP17;AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*);12/04/2027;DI + 2,15%;2,7997;2,3973;2,6183;0,0313;2,587;2,6497;1058,404148;99,0523;523,99;;
AEGP19;AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*);04/10/2028;DI + 1,9%;2,974;2,6001;2,8019;0,0256;2,7763;2,8275;1042,155253;97,3549;764,06;;
AEGPA1;AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*);02/09/2029;DI + 2,45%;3,1036;2,6995;2,9023;0,0239;2,8784;2,9262;991,171028;98,3662;940,77;;
AEGPA3;AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*);15/03/2026;DI + 3%;2,7139;2,0008;2,3286;0,0569;2,2717;2,3856;1017,41522;101,4347;549,21;;
AERI11;AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A;15/01/2026;DI + 2,9%;17,122;10,1014;13,0236;0,673;12,3506;13,6967;924,835072;89,8232;280,75;;
AERI12;AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A;31/07/2026;DI + 2%;16,9234;10,6137;14,3457;2,0821;12,2637;16,4279;804,265074;78,7039;521,75;;
ALGA18;ALGAR TELECOM S/A;15/02/2024;DI + 0,6%;0,8625;0,4973;0,6495;0,1802;0,4693;0,8297;10137,646266;99,9811;97;;
ALGA19;ALGAR TELECOM S/A (*);10/10/2024;DI + 0,7%;1,0898;0,8291;0,9642;0,1107;0,8535;1,0749;1060,180045;99,7497;240,97;;
ALGA28;ALGAR TELECOM S/A;15/02/2026;DI + 0,9%;1,3096;0,9723;1,1434;0,1118;1,0316;1,2554;10100,663717;99,5846;435,3;;
ALGAA1;ALGAR TELECOM S/A (*);15/07/2028;DI + 1,6%;1,5699;1,3908;1,5063;0,0663;1,44;1,5726;1030,341468;100,313;853,69;35;
ALGAA2;ALGAR TELECOM S/A (*);15/01/2029;DI + 1,55%;1,594;1,3695;1,4934;0,0216;1,4717;1,5151;1029,141697;100,2056;928,36;50;
ALMC12;ALUBAR METAIS E CABOS S.A (*) (**);10/06/2027;DI + 4,8%;5,658;4,1074;5,048;0,3177;4,7303;5,3659;1046,845917;99,5774;451,17;;
ALSO15;ALIANSCE SONAE SHOPPING CENTER S/A (*);15/03/2027;DI + 1,43%;1,3001;1,1;1,2;0;1,2;1,2;1007,688437;100,4956;549,01;;
ALSO16;ALIANSCE SONAE SHOPPING CENTER S/A (*);26/08/2027;DI + 1,35%;--;--;1,3133;0,0713;1,242;1,3847;1010,866265;100,1043;725,68;10;
ALSO25;ALIANSCE SONAE SHOPPING CENTER S/A (*);15/03/2029;DI + 1,55%;1,4535;1,2665;1,3695;0,0405;1,329;1,41;1009,655728;100,6894;973,77;;
ALUP17;ALUPAR INVESTIMENTO S/A (*);15/10/2025;DI + 1,4%;1,05;0,85;0,9608;0,0192;0,9416;0,9801;1069,554409;100,5969;345,68;;
AMBP12;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A (*) (**);15/07/2027;DI + 2,75%;--;4,0415;4,2223;0,1031;4,1191;4,3255;1001,405618;97,287;484,88;;
AMBP13;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A (*) (**);10/01/2028;DI + 2,75%;4,1417;3,8358;3,9621;0,1277;3,8344;4,0899;1005,138903;97,3497;574,99;;
AMBP14;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A (*) (**);25/08/2028;DI + 2,85%;4,1616;3,8997;4,0028;0,0694;3,9334;4,0723;977,061977;96,5971;780,22;;
ANHB10;CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*);21/10/2026;DI + 1,2%;1,1833;0,9377;1,0657;0,0777;0,988;1,1436;530,936057;100,1827;346,59;;
ANHBA2;CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*);04/11/2026;DI + 1,3%;1,2759;1,1;1,1939;0,0114;1,1824;1,2054;1058,667678;100,2302;553,13;;
ANHBA3;CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*);15/09/2027;DI + 1,2%;1,5784;1,3037;1,4112;0,0473;1,364;1,4586;996,549036;99,3891;740,36;;
ANHBA4;CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*);14/06/2028;DI + 2,14%;1,589;1,3792;1,4704;0,0369;1,4335;1,5074;1064,032086;102,2104;839,43;35;
APRB28;AUTOPISTA REGIS BITTENCOURT S/A (*);15/06/2027;DI + 0,86%;1,7036;1,4;1,5509;0,0798;1,4712;1,6308;839,975645;98,652;499,77;;
ARML12;ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*);25/11/2028;DI + 2,5%;1,9872;1,7442;1,8577;0,1042;1,7534;1,962;1068,141596;101,5792;629,89;35;
ARML13;ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*);04/11/2029;DI + 2,25%;2,1173;1,8945;1,982;0,0442;1,9377;2,0263;1071,103592;101,0364;991,4;50;
ARTR29;ARTERIS S/A (*);15/09/2025;DI + 2,5%;2,4996;2,1458;2,2987;0,0706;2,2281;2,3694;670,421733;100,2696;345,24;5;
ARTRA1;ARTERIS S/A (*);11/03/2027;DI + 1,65%;2,6517;2,3;2,4797;0,0119;2,4678;2,4917;987,540803;98,2636;542,14;5;
ASAI12;SENDAS DISTRIBUIDORA S/A (*);20/05/2026;DI + 1,7%;1,7886;1,5071;1,6258;0,0215;1,6043;1,6475;1052,021878;100,1351;466,15;5;
ASAI14;SENDAS DISTRIBUIDORA S/A (*);26/11/2027;DI + 1,75%;1,9475;1,6998;1,8139;0,0178;1,7961;1,8318;1046,439225;99,8168;736,06;;
ASAI22;SENDAS DISTRIBUIDORA S/A (*);20/05/2028;DI + 1,95%;2,0635;1,8062;1,911;0,0345;1,8765;1,9456;1052,780364;100,1224;805,64;35;
